"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"1353","Loveless  Vol. 1: A Kin of Homecoming","Brian Azzarello/Marcelo Frusín",3.32,"9781401210618","eng",128,516,52,2006-05-01,"Vertigo",2006,"51-150"
"1354","The Communist Manifesto (Great Ideas)","Karl Marx/Gareth Stedman Jones/Friedrich Engels",3.55,"9780143037514","en-US",128,251,13,2006-05-30,"Penguin",2006,"51-150"
"1355","Letters to Children","C.S. Lewis/Lyle Wesley Dorsett/Marjorie Lamp Mead/Douglas Gresham",4.19,"9780805420432","eng",128,1634,134,1999-03-31,"B&H Publishing Group",1999,"51-150"
"1356","Making a Change for Good: A Guide to Compassionate Self-Discipline","Cheri Huber",3.93,"9781590302088","eng",128,304,36,2007-03-13,"Shambhala",2007,"51-150"
"1357","On Friendship","Michel de Montaigne/M.A. Screech",3.73,"9780143036296","eng",128,50,6,2005-09-06,"Penguin Books",2005,"51-150"
"1358","Verserade tankar","Lennart Hellsing/Fibben Hald",3,"9789177129332","swe",128,1,0,1999-09-01,"Alfabeta Bokförlag",1999,"51-150"
"1359","Trip To The North Pole (The Polar Express: The Movie)","Ellen Weiss/Doyle Partners/Robert Zemeckis",3.62,"9780618477906","eng",128,55,7,2004-10-12,"HMH Books for Young Readers",2004,"51-150"
"1360","The Jane Austen Cookbook","Maggie Black/Deirdre Le Faye",3.93,"9780771014178","eng",128,275,26,2002-05-10,"McClelland & Stewart",2002,"51-150"
"1361","The Story of a Shipwrecked Sailor","Gabriel García Márquez/Randolf Hogan",3.78,"9780679722052","eng",128,462,44,1989-03-13,"Vintage",1989,"51-150"
"1362","Mitz The Marmoset of Bloomsbury","Sigrid Nunez",3.92,"9781933368566","eng",128,134,32,2007-02-15,"Soft Skull Press",2007,"51-150"
"1363","The Elements of Style","William Strunk Jr./E.B. White",4.19,"9780205313426","en-US",128,53669,2526,1999-09-03,"Pearson",1999,"51-150"
"1364","Over 100 Truly Astonishing Sex Tips","Anna Maxted",3.44,"9781858689104","eng",128,9,0,2000-01-01,"Carlton Publishing Group",2000,"51-150"
"1365","A Collection of Rudyard Kipling's Just So Stories","Rudyard Kipling/Christopher Corr",4.09,"9780763626297","en-US",128,177,19,2004-10-07,"Candlewick",2004,"51-150"
"1366","200 Quilt Blocks: To Mix and Match","Davina Thomas",4.09,"9780896892026","eng",128,5,0,2005-10-01,"Krause Publications",2005,"51-150"
"1367","X-Statix  Volume 1: Good Omens","Peter Milligan/Mike Allred/Paul Pope",3.97,"9780785110590","eng",128,400,17,2003-01-01,"Marvel",2003,"51-150"
"1368","Lego Star Wars: Prima Official Game Guide","Michael Littlefield",4.62,"9780761554912","eng",128,27,2,2006-09-12,"Prima Games",2006,"51-150"
"1369","Star Wars: Clone Wars  Volume 1: The Defense of Kamino and Other Tales","John Ostrander/W. Haden Blackman",3.85,"9781569719626","eng",128,911,38,2003-09-15,"Dark Horse Books",2003,"51-150"
"1370","Star Wars: Rebellion  Vol. 1: My Brother  My Enemy","Rob Williams/Michel Lacombe",3.94,"9781593077112","eng",128,518,23,2007-02-27,"Dark Horse",2007,"51-150"
"1371","Mary Engelbreit's Home Companion","Charlotte Lyons/Mary Engelbreit/Barbara E. Martin",4.12,"9780836246216","eng",128,60,2,1994-08-01,"Andrews McMeel Publishing",1994,"51-150"
"1372","Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses","Mary Engelbreit/Leonard S. Marcus",4.37,"9780060081713","en-US",128,567,50,2005-09-20,"HarperCollins",2005,"51-150"
"1373","The Tiger Rising","Kate DiCamillo",3.82,"9780763618988","eng",128,19133,2279,2002-07-01,"Candlewick Press",2002,"51-150"
"1374","Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons","Craig Thompson",3.52,"9781593070694","eng",128,46,1,2003-12-30,"Dark Horse",2003,"51-150"
"1375","Adieu  Chunky Rice","Craig Thompson",3.8,"9782840558590","spa",128,10,1,2002-06-20,"Delcourt",2002,"51-150"
"1376","Forget Me Not: Photography and Remembrance","Geoffrey Batchen",4.22,"9781568986197","eng",128,56,8,2006-08-03,"Princeton Architectural Press",2006,"51-150"
"1377","The Call of the Wild","Jack London/Wendell Minor",3.86,"9780689818363","eng",128,188,16,1999-10-01,"Aladdin",1999,"51-150"
"1378","Built To Last: Building America's Amazing Bridges  Dams  Tunnels  and Skyscrapers (Built to Last)","George Sullivan",4.12,"9780439517379","eng",128,24,6,2005-10-01,"Scholastic Nonfiction",2005,"51-150"
"1379","Secrets  Lies and Democracy","Noam Chomsky/David Barsamian",3.98,"9781878825049","eng",128,934,27,2002-07-01,"Odonian Press",2002,"51-150"
"1380","A Magic Crystal? (Marvin Redpost)","Louis Sachar",3.76,"9780747562832","eng",128,227,21,2005-05-02,"Bloomsbury Publishing PLC",2005,"51-150"
"1381","Pedro Páramo","Juan Rulfo/Margaret Sayers Peden/Susan Sontag",4.05,"9780802133908","eng",128,28102,1511,1994-03-10,"Grove Press",1994,"51-150"
"1382","Mozart's Don Giovanni (the Dover Opera Libretto Series)","Wolfgang Amadeus Mozart/Lorenzo Da Ponte/Ellen H. Bleiler",3.94,"9780486249445","eng",128,51,2,1985-10-01,"Dover Publications",1985,"51-150"
"1383","Castle Diary: The Journal of Tobias Burgess","Richard Platt/Chris Riddell",3.82,"9780763621643","eng",128,1155,66,2003-07-14,"Candlewick",2003,"51-150"
"1384","Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources","Carol Belanger Grafton",3.96,"9780486285610","eng",128,26,1,1995-07-25,"Dover Publications",1995,"51-150"
"1385","Angels: Celestial Spirits in Legend & Art","Jacqueline Carey",4,"9781567996036","en-US",128,42,3,1997-11-01,"MetroBooks (NY)",1997,"51-150"
